"Story","Title","Result","Date","Stability","Duration (s)"
"successful login","Validate the mail format","SUCCESS","2023-06-05T01:55:50.4141-05:00[America/Bogota]","0.0","61.0"
